20:41:35.049 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hemantPandey.journalApp.service.UserDetailsServiceImplTests], using SpringBootContextLoader
20:41:36.995 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017 to client view of cluster
20:41:37.027 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017 to client view of cluster
20:41:37.028 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017 to client view of cluster
20:41:37.231 [main] INFO       org.mongodb.driver.cluster -------- No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@5d850a25 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
20:41:37.528 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:1, serverValue:31677}] to ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017
20:41:37.528 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:2, serverValue:33157}] to ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017
20:41:37.528 [cluster-rtt-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:4, serverValue:33157}] to ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017
20:41:37.528 [cluster-rtt-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:6, serverValue:35108}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:41:37.528 [cluster-rtt-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:3, serverValue:31677}] to ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017
20:41:37.528 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:5, serverValue:35090}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:41:37.528 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Monitor thread successfully connected to server with description ServerDescription{address=ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=236807900, setName='atlas-3mdhmm-shard-0', canonicalAddress=ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, hosts=[ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=11, topologyVersion=TopologyVersion{processId=65d36140a826e5dce8634c70, counter=3}, lastWriteDate=Tue Feb 20 20:40:55 IST 2024, lastUpdateTimeNanos=89902393543800}
20:41:37.528 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Monitor thread successfully connected to server with description ServerDescription{address=ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=236784400, setName='atlas-3mdhmm-shard-0', canonicalAddress=ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017, hosts=[ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=11, topologyVersion=TopologyVersion{processId=65d35e9afc7d5eda050eedb6, counter=4}, lastWriteDate=Tue Feb 20 20:40:55 IST 2024, lastUpdateTimeNanos=89902393543800}
20:41:37.529 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Monitor thread successfully connected to server with description ServerDescription{address=ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=236803600, setName='atlas-3mdhmm-shard-0', canonicalAddress=ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, hosts=[ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000d7, setVersion=11, topologyVersion=TopologyVersion{processId=65d35ffd37f8a9750f695cfb, counter=6}, lastWriteDate=Tue Feb 20 20:40:55 IST 2024, lastUpdateTimeNanos=89902393543000}
20:41:37.533 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Setting max election id to 7fffffff00000000000000d7 from replica set primary ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:41:37.533 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Setting max set version to 11 from replica set primary ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:41:37.533 [cluster-ClusterId{value='65d4c12834bb8316e05a1fe3', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Discovered replica set primary ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:41:37.641 [main] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:7, serverValue:35108}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:41:38.054 [main] INFO       o.s.s.web.DefaultSecurityFilterChain -------- Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@14b5752f, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b94703b, org.springframework.security.web.context.SecurityContextPersistenceFilter@46ea78f0, org.springframework.security.web.header.HeaderWriterFilter@4fd80300, org.springframework.security.web.authentication.logout.LogoutFilter@775f15fd, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@62cd562d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@47f2c722, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35dcd032, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@33a47707, org.springframework.security.web.session.SessionManagementFilter@7f8c3646, org.springframework.security.web.access.ExceptionTranslationFilter@3e2d44f3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4243341e]
20:41:38.796 [main] INFO       c.h.j.s.UserDetailsServiceImplTests -------- Started UserDetailsServiceImplTests in 3.507 seconds (JVM running for 4.485)
